第一次
0,"近义词汉语:温顺,和顺,恭顺,忠顺,驯顺,驯熟,驯服,驯良,柔顺,随和,乖,百依百顺,与人无争,一团和气,温驯,驯熟葡萄牙语"
1,"近义词汉语:装饰,装璜汉语:装饰,装点,装璜,装修,点缀,饰,装潢,装裱葡萄牙语近义词汉语:饰物,装饰品,装饰,什件儿,饰,饰品法语"
2,"近义词汉语:工程,工,工事俄语"
3,"近义词汉语:表,表格,报表汉语:表,手表汉语:表,中表俄语近义词汉语:面,面子,皮,脸,表,表面,面上汉语:面,平面俄语近义词汉语:仪表,仪容,仪态,仪观,仪,人品汉语:仪表,仪器,仪,计,表俄语近义词汉语:表面,外表,外部,大面儿,表,标英语近义词汉语:奏章,奏疏,章,表,本,疏,书6表示近义词汉语:表示,示意,表俄语近义词汉语:阐明,阐发,发明,说明,表明,申明,申说,申述,申,表法语"
4,"近义词汉语:鳄鱼,鳄葡萄牙语"
5,"近义词汉语:男,男性,乾,阳俄语近义词汉语:子,儿子,儿,男,崽,子嗣,小子,幼子德语近义词汉语:男爵,男葡萄牙语"
6,"近义词汉语:尿素,脲"
7,"近义词汉语:喷,喷气,喷吐,喷云吐雾汉语:喷,喷射,喷溅,喷发,射,唧,滋,迸发,高射,喷洒,喷涂,喷涌俄语"
8,"近义词汉语:管,管子,管材俄语近义词汉语:筒,管,杆,筒子,管子俄语近义词汉语:枝,枝子,枝条,侧枝,条,柯,枝干,主枝汉语:枝,条,杆,挺,根,管,茎俄语近义词汉语:管理,经营,掌管,治理,管事,掌,管,理,问,管管,治治,管治俄语近义词汉语:管教,教养,调教,管,管束,辖制法语近义词汉语:管保,保管,管教,包管,保险,保证,准保,确保,担保,保,包,管,打包票,作保,保准,承保,力保法语近义词汉语:把,把手,把子,耳子,襻,把儿,靠手,提手,提梁,轩辕汉语:把,把子,捆,束,卷,扎,一小撮,括汉语:把,将,管,拿俄语近义词汉语:不论,无论,不拘,不管,任凭,随便,无,任,凭,管,任由,甭管,不论是,无论是,听由俄语"
9,"近义词汉语:乐事,快事,赏心乐事英语"
